domain	color	is_fake
witscience.org	black	True
wleb21.com	black	True
wm21news.com	black	True
wmacnews.com	black	True
wmb36.com	black	True
world-politicus.com	black	True
worldinformation24.info	black	True
worldnewsdailyreport.com	black	True
worldnewspolitics.com	black	True
worldpoliticsnow.com	black	True
worldpoliticus.com	black	True
wrejnews.com	black	True
wrpt16.com	black	True
wtoe5news.com	black	True
xbn-news.com	black	True
yesimright.com	black	True
yournewswire.com	black	True
zootfeed.com	black	True
