domain,bakshy_avg_align,bakshy_l2,bakshy_l1,bakshy_n,bakshy_r1,bakshy_r2,bakshy_is_news
rawstory.com,-0.8534,0.8366,0.1598,0.0022,0.0011,0.0003,1
readersupportednews.org,-0.9984,0.8215,0.1755,0.0028,0.0002,0.0,1
reagancoalition.com,0.8878,0.0,0.0,0.0004,0.3484,0.6512,1
realclearpolitics.com,0.6616,0.0161,0.065,0.0574,0.3529,0.5086,1
reason.com,0.3502,0.0091,0.0378,0.2825,0.5811,0.0895,1
redflagnews.com,0.9163,0.0001,0.0002,0.0058,0.3044,0.6896,1
redstate.com,0.9624,0.0002,0.0,0.0007,0.0685,0.9306,1
reuters.com,-0.0945,0.0973,0.2818,0.3729,0.1829,0.0652,1
reverbpress.com,-0.8922,0.9404,0.0596,0.0,0.0,0.0,1
rightwingnews.com,0.88795,0.0,0.0,0.0,0.3033,0.6967000000000001,1
rightwingwatch.org,-0.9407,0.8874,0.1046,0.006,0.002,0.0,1
ringoffireradio.com,-0.9472,0.9861,0.0134,0.0005,0.0,0.0,1
rollingstone.com,-0.6487,0.5395,0.4189,0.0364,0.0052,0.0001,1
rt.com,-0.1488,0.0157,0.3891,0.5164,0.075,0.0037,1
rushlimbaugh.com,1.0077,0.0,0.0,0.0,0.0021,0.9979,1
sacramento.cbslocal.com,-0.1622,0.0574,0.3573,0.4637,0.0942,0.0274,1
salon.com,-0.8753,0.8951,0.0987,0.0042,0.002,0.0001,1
samuel-warde.com,-0.9095,0.9372,0.0628,0.0,0.0,0.0,1
sanders.senate.gov,-0.8528,0.8903,0.1097,0.0,0.0,0.0,1
scgnews.com,0.1063,0.0021,0.104,0.8363,0.0576,0.0,1
secretsofthefed.com,0.0666,0.01,0.0374,0.7975,0.0789,0.0763,1
secure.nrdconline.org,-0.6553,0.3558,0.5217,0.086,0.0366,0.0,1
secure3.convio.net,-0.6422,0.2187,0.3215,0.3904,0.068,0.0014,1
sfgate.com,-0.581,0.4248,0.4295,0.0788,0.0545,0.0125,1
share.credoaction.com,-0.8941,0.9637,0.0349,0.0014,0.0,0.0001,1
shoebat.com,0.8703,0.0,0.0003,0.0018,0.4355,0.5624,1
silive.com,-0.0627,0.0581,0.1643,0.5826,0.1877,0.0073,1
slate.com,-0.6813,0.6183,0.3083,0.0606,0.0112,0.0016,1
sonsoflibertymedia.com,0.9286,0.0,0.0,0.0002,0.1663,0.8336,1
stltoday.com,-0.309,0.1738,0.338,0.3954,0.0806,0.0122,1
stripes.com,0.3658,0.0027,0.0116,0.2253,0.7375,0.023,1
student-debt-forgiveness.com,-0.5858,0.054,0.8958,0.0496,0.0,0.0006,1
tacticalshit.com,0.8118,0.0004,0.0,0.0031,0.6813,0.3152,1
takepart.com,-0.7045,0.6588,0.3134,0.0267,0.001,0.0,1
talkingpointsmemo.com,-0.8614,0.8155,0.1473,0.0109,0.0258,0.0005,1
tampabay.com,-0.4745,0.5919,0.2405,0.1056,0.0421,0.0199,1
teaparty.org,0.9423,0.0001,0.0001,0.0011,0.188,0.8108,1
teapartycrusaders.com,0.8525,0.0007,0.0005,0.0161,0.3096,0.6731,1
ted.com,-0.4859,0.049,0.8185,0.1234,0.0074,0.0017,1
telegraph.co.uk,0.0269,0.0449,0.2161,0.3433,0.323,0.0728,1
tellmenow.com,0.7818,0.0001,0.0001,0.1245,0.7366,0.1387,1
theantimedia.org,-0.3584,0.0032,0.8089,0.1861,0.0017,0.0,1
theatlantic.com,-0.5424,0.3608,0.5057,0.1155,0.0163,0.0018,1
theblaze.com,0.8887,0.0,0.0004,0.0043,0.3091,0.6862,1
thecolbertreport.cc.com,-0.6937,0.6752,0.2911,0.0325,0.0012,0.0,1
thedailybeast.com,-0.4561,0.2756,0.4463,0.1215,0.1393,0.0173,1
thedailyshow.cc.com,-0.6704,0.6918,0.2423,0.0452,0.0203,0.0005,1
thedenverchannel.com,-0.012,0.0429,0.1817,0.5704,0.1911,0.0139,1
theeverlastinggopstoppers.com,-0.8928,0.9458,0.0542,0.0,0.0,0.0,1
thefederalist.com,0.8559,0.0,0.1095,0.0157,0.1852,0.6897,1
thefederalistpapers.org,0.8659,0.0,0.0067,0.0002,0.3221,0.671,1
thefreethoughtproject.com,-0.3618,0.0191,0.7108,0.2692,0.0008,0.0001,1
thegatewaypundit.com,0.9389,0.0,0.0031,0.0074,0.297,0.6925,1
thegrio.com,-0.8326,0.9113,0.0886,0.0001,0.0,0.0,1
theguardian.com,-0.5723,0.485,0.3601,0.123,0.0294,0.0025,1
thehill.com,0.1661,0.1358,0.1426,0.1613,0.3789,0.1813,1
themindunleashed.org,-0.4008,0.0025,0.8098,0.1877,0.0,0.0,1
theminorityreportblog.com,0.9026,0.0,0.0004,0.0001,0.1707,0.8288,1
thenation.com,-0.9463,0.8956,0.1011,0.003,0.0001,0.0002,1
thenewamerican.com,0.7993,0.0005,0.0027,0.0146,0.6039,0.3783,1
thenewcivilrightsmovement.com,-0.9643,0.9869,0.0072,0.0059,0.0,0.0,1
theonion.com,-0.5516,0.1887,0.7312,0.0794,0.0005,0.0001,0
thepcmdgazette.com,0.8222,0.1585,0.0017,0.0117,0.4742,0.3539,1
thepetitionsite.com,-0.6,0.4272,0.4916,0.0688,0.0094,0.003,1
thepolicewifelifeblog.com,0.6271,0.0,0.0,0.0,1.0,0.0,1
thepoliticalinsider.com,0.8998,0.0,0.0,0.0001,0.0989,0.901,1
therightscoop.com,0.9275,0.0,0.0007,0.0011,0.2792,0.719,1
theroot.com,-0.7792,0.8379,0.1552,0.0067,0.0001,0.0002,1
thetruthaboutguns.com,0.6965,0.0,0.0046,0.0227,0.8515,0.1212,1
theuspatriot.com,0.8568,0.0,0.0,0.0,0.6038,0.3962,1
